node,label,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,clustering_coef,core_number
0,HERB000189,11,7.101947999999999,0.0784313725490196,0.4516168306717568,0.351867991379471,0.08238487372788882,0.3203903073703016,5
1,HERB000523,5,2.139583,0.032679738562091505,0.26772054040741367,0.09633277450611137,0.03146480156520066,0.42787208961529866,5
2,HERB001023,7,4.079668,0.029411764705882353,0.34662379382807157,0.18879281617923638,0.05199793966122199,0.4481679510120466,5
3,HERB001104,9,5.797444,0.0392156862745098,0.39497237441078736,0.2698891563443859,0.06912149072423972,0.3453359058151154,5
4,HERB001210,9,5.949125,0.0392156862745098,0.4242761812666495,0.3050773236820728,0.07019647400367945,0.3495529127165315,5
5,HERB001211,7,4.205656,0.022875816993464054,0.3595516672646052,0.19544303868647123,0.05331366460846183,0.45425339103626083,5
6,HERB001333,5,1.537326,0.16993464052287582,0.20541950827005911,0.06412734367265784,0.02480799334384028,0.17700992188501147,5
7,HERB001382,5,2.779639,0.04575163398692811,0.27952219725371924,0.11819589306926807,0.03732203287277858,0.28312645561611555,5
8,HERB001616,10,6.221149,0.05228758169934641,0.42036129705407926,0.31599844432830626,0.07341354515233008,0.3667973925115747,5
9,HERB003106,5,2.476921,0.0196078431372549,0.2656930329847522,0.1115962360669555,0.034267343992327795,0.5044660359811093,5
10,HERB003361,6,3.7825990000000003,0.032679738562091505,0.3478698333692814,0.1920991865402456,0.047344203885697614,0.4897023518057428,5
11,HERB003444,5,3.439855,0.0,0.32649777191272655,0.17161978957111296,0.043958835037543914,0.5967051284080034,5
12,HERB003617,7,4.312823000000001,0.0196078431372549,0.366854939975467,0.22335697839124666,0.052882389718399495,0.4695669876455601,5
13,HERB003790,7,4.986408,0.05228758169934641,0.41026578819062276,0.2769934486951422,0.058947204741782555,0.4680479464380402,5
14,HERB005109,10,6.911198999999999,0.0784313725490196,0.4423623343474901,0.36985892419898037,0.07887921784566429,0.38143741661388414,5
15,HERB006326,9,5.215753,0.16339869281045752,0.3985939243672826,0.2791381171567606,0.062494334552705255,0.3085073447209007,5
16,HERB006666,5,3.1638550000000003,0.0,0.32539759770874366,0.16596731568115386,0.04076687451962238,0.5826477889897969,5
17,HERB006700,5,2.8353479999999998,0.0,0.2733991347886774,0.12525286824370577,0.038254717875765,0.5500342244355421,5
18,HERB006931,7,3.9127289999999997,0.0392156862745098,0.33821597912827245,0.21412204227282006,0.04818206217085021,0.4932437748008902,5
