leaf,s
MESH:C000591739,6.875200000000001
MESH:C000596385,9.271360000000001
MESH:C000597569,5.1292800000000005
MESH:C000598640,4.938560000000001
MESH:C000598644,10.486080000000003
MESH:C000598645,4.283200000000001
MESH:C000598744,4.283200000000001
MESH:C000598941,6.465600000000002
MESH:C000600608,9.725760000000003
MESH:C000601856,6.840128000000001
MESH:C000603735,7.508800000000003
MESH:C000604661,4.104000000000001
MESH:C000608733,8.764480000000002
MESH:C000608854,11.247680000000004
MESH:C000610012,3.3616
MESH:C000613206,5.473139200000001
MESH:C000623088,4.688704
MESH:C000625499,7.940160000000001
MESH:C000626124,4.688704
MESH:C000626393,8.315200000000003
MESH:C000629404,9.385280000000002
MESH:C000630779,2.9520000000000004
MESH:C000631768,4.904000000000001
MESH:C000631847,6.812480000000001
MESH:C000632444,9.686080000000002
MESH:C000632664,6.465600000000001
MESH:C000633744,2.9520000000000004
MESH:C000654764,5.313600000000001
MESH:C000655084,3.6892800000000006
MESH:C000655292,3.3616
MESH:C000655384,4.9232000000000005
MESH:C000656784,5.665600000000001
MESH:C000656785,3.6892800000000006
MESH:C000656804,4.104000000000001
MESH:C000656805,4.104000000000001
MESH:C000656806,3.3616
MESH:C000656824,6.644800000000002
MESH:C000656825,6.644800000000002
MESH:C000656844,5.435200000000001
MESH:C000656845,5.348160000000001
MESH:C000656864,4.591424000000001
MESH:C000656865,3.3616
MESH:C000656884,3.3616
MESH:C000656904,5.348160000000001
MESH:C000656905,3.6892800000000006
MESH:C000656906,3.6892800000000006
MESH:C000656907,3.6892800000000006
MESH:C000656924,3.6892800000000006
MESH:C000656944,3.9514240000000007
MESH:C000656945,3.9514240000000007
MESH:C000656946,3.9514240000000007
MESH:C000656947,3.9514240000000007
MESH:C000656948,3.9514240000000007
MESH:C000656949,3.9514240000000007
MESH:C000656964,8.611904000000003
MESH:C000657744,3.6892800000000006
MESH:C000657784,11.657280000000004
MESH:C000705207,4.938560000000001
MESH:C000705427,4.161139200000001
MESH:C000705607,3.6892800000000006
MESH:C000705967,10.239040000000001
MESH:C000711429,7.237440000000002
MESH:C000711430,7.237440000000002
MESH:C000711512,5.90624
MESH:C000711527,3.6892800000000006
MESH:C000711528,3.6892800000000006
MESH:C000711529,3.6892800000000006
MESH:C000711530,5.313600000000001
MESH:C000711547,2.9520000000000004
MESH:C000711647,5.313600000000001
MESH:C000711648,2.952
MESH:C000711649,7.105600000000002
MESH:C000711650,3.3616
MESH:C000715309,5.098304000000001
MESH:C000715347,3.3616
MESH:C000715747,7.831360000000001
MESH:C000715748,3.3616000000000006
MESH:C000715927,4.392
MESH:C000717167,7.617600000000001
MESH:C000718087,10.239040000000001
MESH:C000718127,10.013760000000003
MESH:C000718787,3.6892800000000006
MESH:C000718907,4.104000000000001
MESH:C000718908,4.104000000000001
MESH:C000719188,3.3616
MESH:C000719189,3.3616
MESH:C000719190,3.3616
MESH:C000719191,3.6892800000000006
MESH:C000719193,3.3616
MESH:C000719194,3.3616
MESH:C000719195,3.3616
MESH:C000719196,3.3616
MESH:C000719197,3.3616
MESH:C000719198,3.3616
MESH:C000719201,3.3616
MESH:C000719202,3.3616
MESH:C000719203,3.6892800000000006
MESH:C000719204,3.3616
MESH:C000719205,3.3616
MESH:C000719206,3.3616
MESH:C000719207,3.3616
MESH:C000719208,3.3616
MESH:C000719209,3.3616
MESH:C000719210,3.3616
MESH:C000719212,3.3616
MESH:C000719213,3.3616
MESH:C000719214,3.3616
MESH:C000719215,3.6892800000000006
MESH:C000719216,3.3616
MESH:C000719218,3.3616
MESH:C000719219,3.3616
MESH:C000719220,3.3616
MESH:C000719328,3.3616
MESH:C000719407,8.008
MESH:C000719531,5.660480000000001
MESH:C000719624,7.515200000000002
MESH:C000720119,4.5136
MESH:C000720973,4.904
MESH:C000721267,3.3616000000000006
MESH:C000721268,4.283200000000001
MESH:C000721269,6.465600000000002
MESH:C000721270,3.3616000000000006
MESH:C000721272,5.5440000000000005
MESH:C000721287,6.6640000000000015
MESH:C000721288,5.435200000000001
